BindingDB Reactant_set_id,Ligand SMILES,IC50 (nM)
262013,NC1(CCC1)c1ccc(cc1)-n1c(nc2ccc(Nc3ccccc3)nc12)-c1ccccc1,4.13
228765,CCN(CC)C(=O)C1CCN(CC1)c1cccc(c1)-c1ccc2nc(-c3cccnc3N)n(-c3ccc(cc3)C3(N)CCC3)c2n1,4.15
329960,Nc1ncnc(N2CCC(CC2)c2nc(cn2CCN2CCC2)-c2ccc(F)c(c2)C(F)(F)F)c1C=C,4.2
329919,CCc1c(N)ncnc1N1CCC(CC1)c1nc(cn1CCN1CCC1)-c1ccnc(c1)C(C)C,4.2
1135372,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)NC(CCO)c1ccc(Cl)cc1,4.2
1135367,CC(=O)NCCC(NC(=O)C1(N)CCN(CC1)c1ncnc2[nH]ccc12)c1ccc(Cl)cc1,4.2
330007,Nc1ncnc(N2CCC(CC2)c2nc(cn2CCN2CCCC2)-c2cccc(c2)C(F)(F)F)c1Br,4.2
603089,COc1ccc2nc(c(-c3ccccc3)n2n1)-c1ccc(cc1)C1(N)CCC1,4.2
256490,CCC1(O)CC(N)(C1)c1ccc(cc1)-c1nc2-c3cnccc3OCn2c1-c1ccccc1,4.2
50552494,CN(Cc1ccc(Cl)cc1)C(=O)C1(N)CCN(CC1)c1ncnc2[nH]ccc12,4.2
450839,CC(C)c1c2B(O)OCc2ccc1Oc1ccc(CN)cc1Cl,4.22
262011,CN(C)C(=O)c1cccc(c1)-c1ccc2nc(-c3ccccc3)n(-c3ccc(cc3)C3(N)CCC3)c2n1,4.27
30611,N[C@H](COc1cncc(c1)-c1ccc2[nH]c(=O)sc2c1)Cc1c[nH]c2ccccc12,4.3
1135411,CN1CCN(CC[C@H](NC(=O)C2(N)CCN(CC2)c2ncnc3[nH]ccc23)c2ccc(Cl)cc2)CC1,4.3
603222,COc1cc(-c2cc[nH]n2)c2nc(c(-c3ccccc3)n2n1)-c1ccc(cc1)C1(N)CCC1,4.3
51116614,Clc1ccc(cc1Cl)C1(CCNCC1)C(=O)N1CCN(CC1)c1ncnc2[nH]cc(Br)c12,4.3
